true_class,predicted_class,count
COMEDY_WEIRD,ENTERTAINMENT,299
IDENTITY_VOICES,ENTERTAINMENT,289
POLITICS,WORLD_NEWS,270
POLITICS,ENTERTAINMENT,263
PARENTING,HEALTH_WELLNESS,246
LIFESTYLE,HEALTH_WELLNESS,228
ENTERTAINMENT,POLITICS,222
WORLD_NEWS,POLITICS,182
BUSINESS_MONEY,HEALTH_WELLNESS,182
IDENTITY_VOICES,POLITICS,159
STYLE_BEAUTY,ENTERTAINMENT,148
ARTS_CULTURE,ENTERTAINMENT,139
POLITICS,IDENTITY_VOICES,125
PARENTING,ENTERTAINMENT,124
BUSINESS_MONEY,POLITICS,114
SCIENCE_TECH,HEALTH_WELLNESS,112
SPORTS,ENTERTAINMENT,108
COMEDY_WEIRD,POLITICS,100
WOMEN,HEALTH_WELLNESS,98
ENTERTAINMENT,COMEDY_WEIRD,97
FOOD_DRINK,HEALTH_WELLNESS,94
HEALTH_WELLNESS,PARENTING,89
POLITICS,HEALTH_WELLNESS,88
POLITICS,BUSINESS_MONEY,84
ENTERTAINMENT,IDENTITY_VOICES,81
PARENTING,LIFESTYLE,77
CRIME,POLITICS,77
HEALTH_WELLNESS,POLITICS,77
HEALTH_WELLNESS,ENTERTAINMENT,76
IDENTITY_VOICES,HEALTH_WELLNESS,76
