loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9992564456328595,34.39536666870117,1.6000437397484964e-05,1.0,9145,,,,,,,,,,,,
,,,1.0,9145,0.833281934261322,0.7448898242928664,0.688391267185449,0.7400870252798735,43.2315,725.373,45.337,,,,,
0.710323691224713,38.967552185058594,1.2000437397484965e-05,2.0,18290,,,,,,,,,,,,
,,,2.0,18290,0.7714087963104248,0.7632258681718167,0.7088069185074581,0.7597263421337835,43.3105,724.05,45.255,,,,,
0.5494291193958447,9.974827766418457,8.000437397484964e-06,3.0,27435,,,,,,,,,,,,
,,,3.0,27435,0.7837130427360535,0.7661277464204853,0.7157736679610607,0.764394317395952,44.2666,708.413,44.277,,,,,
0.417475690054333,7.489623069763184,4.000437397484964e-06,4.0,36580,,,,,,,,,,,,
,,,4.0,36580,0.8630393147468567,0.7633215344877069,0.7105236554497177,0.7608577800343993,43.189,726.088,45.382,,,,,
0.31943815887267635,1.3006298542022705,4.373974849644615e-10,5.0,45725,,,,,,,,,,,,
,,,5.0,45725,0.9057402610778809,0.7625880927325489,0.7120756695040685,0.7613111340952692,43.5185,720.59,45.038,,,,,
,,,5.0,45725,,,,,,,,3021.6387,242.102,15.133,2.775562177224924e+16,0.5991846210360853
