,pred_ARTS_CULTURE,pred_BUSINESS_MONEY,pred_COMEDY_WEIRD,pred_CRIME,pred_EDUCATION,pred_ENTERTAINMENT,pred_ENVIRONMENT_GREEN,pred_FOOD_DRINK,pred_HEALTH_WELLNESS,pred_HOME_LIVING,pred_IDENTITY_VOICES,pred_LIFESTYLE,pred_PARENTING,pred_POLITICS,pred_RELATIONSHIPS,pred_RELIGION,pred_SCIENCE_TECH,pred_SPORTS,pred_STYLE_BEAUTY,pred_TRAVEL,pred_WOMEN,pred_WORLD_NEWS
true_ARTS_CULTURE,163,2,14,0,1,139,11,7,47,13,28,10,7,22,0,1,7,7,23,65,6,15
true_BUSINESS_MONEY,3,507,15,7,8,51,27,28,182,9,14,37,14,114,9,1,35,11,20,38,9,23
true_COMEDY_WEIRD,6,18,396,33,2,299,38,23,66,11,22,13,40,100,13,4,11,32,34,49,5,10
true_CRIME,0,5,16,225,5,33,13,0,12,0,13,21,12,77,1,4,1,12,2,6,1,75
true_EDUCATION,1,22,5,5,109,26,1,2,39,0,10,14,18,51,0,3,0,6,1,6,3,2
true_ENTERTAINMENT,19,14,97,20,0,2241,4,6,68,4,81,21,38,222,24,3,11,22,61,19,23,47
true_ENVIRONMENT_GREEN,1,17,15,6,1,21,278,7,39,6,3,31,7,60,0,0,15,3,5,51,1,42
true_FOOD_DRINK,1,11,31,0,0,23,5,915,94,31,7,15,11,4,3,1,5,7,29,69,0,3
true_HEALTH_WELLNESS,3,45,28,0,2,76,29,70,2936,21,19,69,89,77,24,6,21,14,57,64,23,21
true_HOME_LIVING,8,10,9,0,0,21,6,20,45,399,3,4,13,2,5,1,4,1,57,33,0,2
true_IDENTITY_VOICES,15,10,19,55,14,289,1,7,76,2,911,36,33,159,19,12,3,29,40,20,15,43
true_LIFESTYLE,7,41,19,10,12,67,41,21,228,8,25,183,66,46,14,8,15,9,15,44,14,49
true_PARENTING,4,11,27,10,14,124,4,20,246,8,35,77,1173,24,20,1,6,7,43,20,21,4
true_POLITICS,4,84,53,37,26,263,73,5,88,1,125,51,16,4111,8,18,18,20,9,24,33,270
true_RELATIONSHIPS,0,7,4,1,0,39,0,8,72,5,10,16,33,6,804,2,1,2,25,19,5,2
true_RELIGION,1,2,2,3,1,30,2,2,42,0,24,18,5,53,4,124,0,3,2,15,3,49
true_SCIENCE_TECH,0,54,18,0,4,58,40,8,112,9,6,12,12,33,2,2,217,3,12,15,0,22
true_SPORTS,1,9,20,10,3,108,5,5,24,2,21,8,4,26,1,1,1,466,4,15,2,26
true_STYLE_BEAUTY,2,9,17,1,2,148,9,9,65,27,17,8,12,9,15,2,8,3,1378,33,7,7
true_TRAVEL,15,12,15,1,3,46,20,42,69,15,10,15,10,8,4,5,4,5,38,1117,1,29
true_WOMEN,1,15,8,5,3,71,1,4,98,2,20,28,26,65,9,3,5,9,18,5,118,9
true_WORLD_NEWS,4,18,11,42,5,72,64,2,38,0,19,32,6,182,0,19,9,16,3,55,2,1038
